Data Source,Data Value Alt,Data Value Type,Data Value Unit,"Cases per 100,000 People",F1,High Confidence Limit,Location Abbr,State,Low Confidence Limit,Number of Records,Heart Disease Stratification,Response,Gender,Stratification2,Stratification3,Topic,Year End,Year Start
NVSS,188.3,Age-adjusted Rate,"cases per 100,000",188.3,293183,207.1,AK,Alaska,169.5,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,277.5,Age-adjusted Rate,"cases per 100,000",277.5,293191,284.5,AL,Alabama,270.5,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,274,Age-adjusted Rate,"cases per 100,000",274,293199,282.5,AR,Arkansas,265.4,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,171.1,Age-adjusted Rate,"cases per 100,000",171.1,293207,175.4,AZ,Arizona,166.7,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,180.5,Age-adjusted Rate,"cases per 100,000",180.5,293215,182.5,CA,California,178.5,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,164.3,Age-adjusted Rate,"cases per 100,000",164.3,293223,169.7,CO,Colorado,158.8,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,186.5,Age-adjusted Rate,"cases per 100,000",186.5,293231,192.8,CT,Connecticut,180.3,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,262.8,Age-adjusted Rate,"cases per 100,000",262.8,293239,283.2,DC,District of Columbia,242.5,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,211.6,Age-adjusted Rate,"cases per 100,000",211.6,293247,224.9,DE,Delaware,198.4,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,192.7,Age-adjusted Rate,"cases per 100,000",192.7,293255,195.2,FL,Florida,190.3,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,226.4,Age-adjusted Rate,"cases per 100,000",226.4,293263,231.3,GA,Georgia,221.5,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,184.1,Age-adjusted Rate,"cases per 100,000",184.1,293271,193.8,HI,Hawaii,174.4,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,201.1,Age-adjusted Rate,"cases per 100,000",201.1,293279,208,IA,Iowa,194.3,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,189.6,Age-adjusted Rate,"cases per 100,000",189.6,293287,199.5,ID,Idaho,179.7,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,216.4,Age-adjusted Rate,"cases per 100,000",216.4,293295,220.2,IL,Illinois,212.6,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,232.3,Age-adjusted Rate,"cases per 100,000",232.3,293303,237.8,IN,Indiana,226.9,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,202,Age-adjusted Rate,"cases per 100,000",202,293311,209.4,KS,Kansas,194.6,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,255.5,Age-adjusted Rate,"cases per 100,000",255.5,293319,262.5,KY,Kentucky,248.5,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,273.3,Age-adjusted Rate,"cases per 100,000",273.3,293327,280.6,LA,Louisiana,266,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,178.2,Age-adjusted Rate,"cases per 100,000",178.2,293335,182.8,MA,Massachusetts,173.6,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,216.2,Age-adjusted Rate,"cases per 100,000",216.2,293344,221.8,MD,Maryland,210.5,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,184.2,Age-adjusted Rate,"cases per 100,000",184.2,293352,193.9,ME,Maine,174.5,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,250.8,Age-adjusted Rate,"cases per 100,000",250.8,293360,255.2,MI,Michigan,246.3,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,152.3,Age-adjusted Rate,"cases per 100,000",152.3,293367,157,MN,Minnesota,147.5,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,244.6,Age-adjusted Rate,"cases per 100,000",244.6,293375,250.2,MO,Missouri,239,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,287.7,Age-adjusted Rate,"cases per 100,000",287.7,293383,296.9,MS,Mississippi,278.5,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,181.5,Age-adjusted Rate,"cases per 100,000",181.5,293391,192.6,MT,Montana,170.3,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,205.2,Age-adjusted Rate,"cases per 100,000",205.2,293399,209.4,NC,North Carolina,200.9,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,185,Age-adjusted Rate,"cases per 100,000",185,293407,198.9,ND,North Dakota,171.1,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,186.3,Age-adjusted Rate,"cases per 100,000",186.3,293415,195.1,NE,Nebraska,177.5,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,183.1,Age-adjusted Rate,"cases per 100,000",183.1,293423,193.5,NH,New Hampshire,172.8,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,208.5,Age-adjusted Rate,"cases per 100,000",208.5,293431,212.8,NJ,New Jersey,204.1,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,182.4,Age-adjusted Rate,"cases per 100,000",182.4,293439,190.7,NM,New Mexico,174.1,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,251.7,Age-adjusted Rate,"cases per 100,000",251.7,293447,260.4,NV,Nevada,243,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,221.6,Age-adjusted Rate,"cases per 100,000",221.6,293455,224.6,NY,New York,218.6,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,237.1,Age-adjusted Rate,"cases per 100,000",237.1,293463,241.1,OH,Ohio,233.1,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,280.3,Age-adjusted Rate,"cases per 100,000",280.3,293471,288,OK,Oklahoma,272.6,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,169.5,Age-adjusted Rate,"cases per 100,000",169.5,293479,175.2,OR,Oregon,163.8,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,223.5,Age-adjusted Rate,"cases per 100,000",223.5,293487,227,PA,Pennsylvania,219.9,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,214.9,Age-adjusted Rate,"cases per 100,000",214.9,293495,227.2,RI,Rhode Island,202.5,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,231.5,Age-adjusted Rate,"cases per 100,000",231.5,293503,237.9,SC,South Carolina,225.1,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,208.4,Age-adjusted Rate,"cases per 100,000",208.4,293512,221.8,SD,South Dakota,195,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,255.5,Age-adjusted Rate,"cases per 100,000",255.5,293520,261.2,TN,Tennessee,249.7,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,213.9,Age-adjusted Rate,"cases per 100,000",213.9,293529,216.7,TX,Texas,211,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,176.8,Age-adjusted Rate,"cases per 100,000",176.8,293538,185.2,UT,Utah,168.5,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,196.8,Age-adjusted Rate,"cases per 100,000",196.8,293546,201.4,VA,Virginia,192.1,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,190.1,Age-adjusted Rate,"cases per 100,000",190.1,293554,204.9,VT,Vermont,175.2,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,179.4,Age-adjusted Rate,"cases per 100,000",179.4,293562,184,WA,Washington,174.7,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,196.6,Age-adjusted Rate,"cases per 100,000",196.6,293571,201.7,WI,Wisconsin,191.5,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,243.6,Age-adjusted Rate,"cases per 100,000",243.6,293579,253.4,WV,West Virginia,233.9,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,199.9,Age-adjusted Rate,"cases per 100,000",199.9,293587,216.6,WY,Wyoming,183.2,1,Mortality from Diseases of the Heart,,Male,,,Cardiovascular Disease,2014,2014
NVSS,115.9,Age-adjusted Rate,"cases per 100,000",115.9,294405,130.3,AK,Alaska,101.4,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,124.6,Age-adjusted Rate,"cases per 100,000",124.6,294413,129.2,AL,Alabama,119.9,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,174.5,Age-adjusted Rate,"cases per 100,000",174.5,294421,181.3,AR,Arkansas,167.8,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,119.9,Age-adjusted Rate,"cases per 100,000",119.9,294429,123.6,AZ,Arizona,116.3,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,122.3,Age-adjusted Rate,"cases per 100,000",122.3,294437,124,CA,California,120.6,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,101.2,Age-adjusted Rate,"cases per 100,000",101.2,294445,105.4,CO,Colorado,96.9,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,104.8,Age-adjusted Rate,"cases per 100,000",104.8,294453,109.5,CT,Connecticut,100.1,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,172.3,Age-adjusted Rate,"cases per 100,000",172.3,294462,188.9,DC,District of Columbia,155.7,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,136.2,Age-adjusted Rate,"cases per 100,000",136.2,294470,146.8,DE,Delaware,125.6,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,128.9,Age-adjusted Rate,"cases per 100,000",128.9,294478,130.8,FL,Florida,126.9,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,148.8,Age-adjusted Rate,"cases per 100,000",148.8,294481,154.6,IA,Iowa,142.9,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,109,Age-adjusted Rate,"cases per 100,000",109,294487,112.4,GA,Georgia,105.7,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,103.7,Age-adjusted Rate,"cases per 100,000",103.7,294495,111,HI,Hawaii,96.5,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,115.6,Age-adjusted Rate,"cases per 100,000",115.6,294510,123.2,ID,Idaho,107.9,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,128.2,Age-adjusted Rate,"cases per 100,000",128.2,294518,131.1,IL,Illinois,125.3,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,140.7,Age-adjusted Rate,"cases per 100,000",140.7,294526,144.9,IN,Indiana,136.4,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,124.8,Age-adjusted Rate,"cases per 100,000",124.8,294534,130.6,KS,Kansas,119,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,150.4,Age-adjusted Rate,"cases per 100,000",150.4,294542,155.8,KY,Kentucky,145.1,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,147.5,Age-adjusted Rate,"cases per 100,000",147.5,294550,152.8,LA,Louisiana,142.2,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,108.5,Age-adjusted Rate,"cases per 100,000",108.5,294558,112.1,MA,Massachusetts,105,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,135,Age-adjusted Rate,"cases per 100,000",135,294566,139.5,MD,Maryland,130.5,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,113.4,Age-adjusted Rate,"cases per 100,000",113.4,294574,121,ME,Maine,105.8,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,171,Age-adjusted Rate,"cases per 100,000",171,294582,174.6,MI,Michigan,167.4,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,91.3,Age-adjusted Rate,"cases per 100,000",91.3,294590,94.9,MN,Minnesota,87.7,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,154.6,Age-adjusted Rate,"cases per 100,000",154.6,294598,159.1,MO,Missouri,150.2,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,149.4,Age-adjusted Rate,"cases per 100,000",149.4,294607,155.9,MS,Mississippi,142.8,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,116,Age-adjusted Rate,"cases per 100,000",116,294615,124.8,MT,Montana,107.2,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,129.1,Age-adjusted Rate,"cases per 100,000",129.1,294623,132.5,NC,North Carolina,125.8,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,121.8,Age-adjusted Rate,"cases per 100,000",121.8,294632,133,ND,North Dakota,110.5,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,104.6,Age-adjusted Rate,"cases per 100,000",104.6,294640,111.2,NE,Nebraska,98,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,114.8,Age-adjusted Rate,"cases per 100,000",114.8,294648,122.9,NH,New Hampshire,106.6,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,132,Age-adjusted Rate,"cases per 100,000",132,294656,135.5,NJ,New Jersey,128.6,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,132.1,Age-adjusted Rate,"cases per 100,000",132.1,294664,139.2,NM,New Mexico,125.1,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,150.8,Age-adjusted Rate,"cases per 100,000",150.8,294667,154,OH,Ohio,147.7,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,138.6,Age-adjusted Rate,"cases per 100,000",138.6,294673,145.1,NV,Nevada,132.2,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,158.7,Age-adjusted Rate,"cases per 100,000",158.7,294681,161.2,NY,New York,156.1,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,187.2,Age-adjusted Rate,"cases per 100,000",187.2,294696,193.5,OK,Oklahoma,180.9,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,98.4,Age-adjusted Rate,"cases per 100,000",98.4,294704,102.7,OR,Oregon,94.1,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,138.8,Age-adjusted Rate,"cases per 100,000",138.8,294712,141.5,PA,Pennsylvania,136,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,154.3,Age-adjusted Rate,"cases per 100,000",154.3,294720,164.8,RI,Rhode Island,143.9,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,134,Age-adjusted Rate,"cases per 100,000",134,294728,138.8,SC,South Carolina,129.2,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,157,Age-adjusted Rate,"cases per 100,000",157,294737,168.6,SD,South Dakota,145.4,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,175,Age-adjusted Rate,"cases per 100,000",175,294745,179.7,TN,Tennessee,170.2,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,133.7,Age-adjusted Rate,"cases per 100,000",133.7,294753,136,TX,Texas,131.5,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,96.3,Age-adjusted Rate,"cases per 100,000",96.3,294762,102.4,UT,Utah,90.2,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,114.7,Age-adjusted Rate,"cases per 100,000",114.7,294770,118.2,VA,Virginia,111.1,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,130.4,Age-adjusted Rate,"cases per 100,000",130.4,294778,142.5,VT,Vermont,118.2,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,120.4,Age-adjusted Rate,"cases per 100,000",120.4,294786,124.2,WA,Washington,116.6,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,127.1,Age-adjusted Rate,"cases per 100,000",127.1,294795,131.2,WI,Wisconsin,123.1,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,163.1,Age-adjusted Rate,"cases per 100,000",163.1,294803,171,WV,West Virginia,155.2,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,116,Age-adjusted Rate,"cases per 100,000",116,294811,128.6,WY,Wyoming,103.4,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,100.4,Age-adjusted Rate,"cases per 100,000",100.4,295631,115.4,AK,Alaska,85.5,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,125,Age-adjusted Rate,"cases per 100,000",125,295639,129.8,AL,Alabama,120.2,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,128.6,Age-adjusted Rate,"cases per 100,000",128.6,295647,134.6,AR,Arkansas,122.7,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,71,Age-adjusted Rate,"cases per 100,000",71,295655,73.8,AZ,Arizona,68.2,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,89.6,Age-adjusted Rate,"cases per 100,000",89.6,295663,91,CA,California,88.1,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,97.9,Age-adjusted Rate,"cases per 100,000",97.9,295671,102.2,CO,Colorado,93.5,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,90,Age-adjusted Rate,"cases per 100,000",90,295679,94.4,CT,Connecticut,85.6,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,60.7,Age-adjusted Rate,"cases per 100,000",60.7,295687,70.9,DC,District of Columbia,50.6,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,98.5,Age-adjusted Rate,"cases per 100,000",98.5,295695,107.7,DE,Delaware,89.4,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,66.9,Age-adjusted Rate,"cases per 100,000",66.9,295703,68.3,FL,Florida,65.4,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,106.7,Age-adjusted Rate,"cases per 100,000",106.7,295711,110.3,GA,Georgia,103.2,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,67.9,Age-adjusted Rate,"cases per 100,000",67.9,295719,73.8,HI,Hawaii,62,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,106.9,Age-adjusted Rate,"cases per 100,000",106.9,295727,111.9,IA,Iowa,101.9,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,106.4,Age-adjusted Rate,"cases per 100,000",106.4,295735,114,ID,Idaho,98.9,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,99.1,Age-adjusted Rate,"cases per 100,000",99.1,295743,101.7,IL,Illinois,96.5,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,127.6,Age-adjusted Rate,"cases per 100,000",127.6,295751,131.7,IN,Indiana,123.4,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,109.6,Age-adjusted Rate,"cases per 100,000",109.6,295759,115.1,KS,Kansas,104.1,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,126.1,Age-adjusted Rate,"cases per 100,000",126.1,295767,131.2,KY,Kentucky,121,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,115.6,Age-adjusted Rate,"cases per 100,000",115.6,295775,120.4,LA,Louisiana,110.7,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,92.8,Age-adjusted Rate,"cases per 100,000",92.8,295783,96.2,MA,Massachusetts,89.5,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,68.8,Age-adjusted Rate,"cases per 100,000",68.8,295791,72.1,MD,Maryland,65.5,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,103.2,Age-adjusted Rate,"cases per 100,000",103.2,295799,110.6,ME,Maine,95.9,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,111.8,Age-adjusted Rate,"cases per 100,000",111.8,295807,114.9,MI,Michigan,108.8,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,106.5,Age-adjusted Rate,"cases per 100,000",106.5,295815,110.6,MN,Minnesota,102.5,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,106,Age-adjusted Rate,"cases per 100,000",106,295823,109.8,MO,Missouri,102.2,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,158.4,Age-adjusted Rate,"cases per 100,000",158.4,295831,165.4,MS,Mississippi,151.3,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,96.5,Age-adjusted Rate,"cases per 100,000",96.5,295839,104.7,MT,Montana,88.3,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,107,Age-adjusted Rate,"cases per 100,000",107,295847,110.2,NC,North Carolina,103.9,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,110.1,Age-adjusted Rate,"cases per 100,000",110.1,295855,120.9,ND,North Dakota,99.4,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,121,Age-adjusted Rate,"cases per 100,000",121,295863,128.2,NE,Nebraska,113.9,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,98.6,Age-adjusted Rate,"cases per 100,000",98.6,295871,106.4,NH,New Hampshire,90.9,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,86.5,Age-adjusted Rate,"cases per 100,000",86.5,295879,89.4,NJ,New Jersey,83.7,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,81.5,Age-adjusted Rate,"cases per 100,000",81.5,295887,87.2,NM,New Mexico,75.8,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,61.4,Age-adjusted Rate,"cases per 100,000",61.4,295895,65.9,NV,Nevada,56.9,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
